Timestamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4
2024-12-28 21:36:08,4.6,4.1,5.0,9.9
2024-12-28 21:36:14,4.6,4.1,4.4,9.9
2024-12-28 21:36:19,4.5,4.2,5.9,9.9
2024-12-28 21:36:24,4.6,4.2,6.2,9.9
2024-12-28 21:36:29,4.6,4.2,6.3,10.0
2024-12-28 21:36:34,4.5,4.2,6.4,10.0
2024-12-28 21:36:39,4.4,4.2,6.5,9.9
2024-12-28 21:36:45,4.4,4.2,6.5,9.9
2024-12-28 21:36:50,4.3,4.2,6.6,9.9
2024-12-28 21:36:55,4.3,4.2,6.6,9.9
2024-12-28 21:37:00,4.3,4.4,6.7,10.0
2024-12-28 21:37:05,4.3,4.9,6.8,10.1
2024-12-28 21:37:11,4.3,5.2,6.9,10.1
2024-12-28 21:37:16,4.3,5.2,7.0,10.1
2024-12-28 21:37:21,4.5,5.2,7.1,10.2
2024-12-28 21:37:26,4.6,5.3,7.1,10.1
2024-12-28 21:37:31,4.6,5.5,7.1,10.0
2024-12-28 21:37:37,4.7,8.0,7.1,10.1
2024-12-28 21:37:42,4.7,7.4,7.2,10.1
2024-12-28 21:37:47,4.6,8.9,7.3,9.9
2024-12-28 21:37:52,4.6,9.0,7.4,9.9
2024-12-28 21:37:57,4.8,8.5,7.1,9.9
2024-12-28 21:38:02,4.9,8.4,7.5,10.0
2024-12-28 21:38:08,4.9,8.2,7.6,9.9
2024-12-28 21:38:13,4.9,8.1,7.7,9.9
2024-12-28 21:38:18,4.8,8.2,7.7,10.0
2024-12-28 21:38:23,4.8,8.5,7.8,10.1
2024-12-28 21:38:28,4.7,8.5,7.9,10.1
2024-12-28 21:38:34,4.8,9.1,8.0,10.2
2024-12-28 21:38:39,4.9,9.9,8.0,10.2
2024-12-28 21:38:44,4.9,10.2,8.1,10.2
2024-12-28 21:38:49,4.9,10.4,8.2,10.2
2024-12-28 21:38:54,4.8,10.5,8.2,10.2
2024-12-28 21:39:00,4.6,10.6,8.2,10.2
2024-12-28 21:39:05,4.4,10.7,8.3,10.0
2024-12-28 21:39:10,4.5,10.7,8.3,9.9
2024-12-28 21:39:15,4.5,10.7,8.4,9.9
2024-12-28 21:39:20,4.5,10.7,8.4,9.9
2024-12-28 21:39:25,4.6,10.6,8.5,10.1
2024-12-28 21:39:31,4.8,10.6,8.5,10.1
2024-12-28 21:39:36,4.8,10.6,8.5,10.2
2024-12-28 21:39:41,4.7,10.6,8.5,10.2
2024-12-28 21:39:46,4.6,10.6,8.5,10.2
2024-12-28 21:39:51,4.4,10.5,8.6,10.1
2024-12-28 21:39:57,4.4,10.5,8.6,10.2
2024-12-28 21:40:02,4.2,10.5,8.6,10.1
2024-12-28 21:40:07,4.3,10.5,8.7,10.0
2024-12-28 21:40:12,4.4,10.5,8.7,10.1
2024-12-28 21:40:17,4.5,10.5,8.8,10.2
2024-12-28 21:40:23,4.5,10.5,8.8,10.2
2024-12-28 21:40:28,4.5,10.5,8.9,10.3
